32,12.844,0
36,16.603,3
39,19.287,4
38,21.805,0
39,24.045,5
41,26.063,6
41,27.609,8
42,28.978,7
42,30.064,0
48,31.19,10
48,32.501,0
48,33.446,14
48,34.264,16
48,34.95,14
48,35.765,19
48,36.322,14
48,37.133,18
48,37.682,16
48,38.118,13
48,38.633,18
50,39.132,19
50,39.592,16
49,39.9,20
50,40.067,0
50,40.42,0
49,40.9,17
50,41.373,17
52,42.127,21
52,42.327,20
52,42.932,24
50,43.401,23
52,43.757,20
51,44.253,25
51,44.326,23
51,44.914,21
53,44.663,20
52,44.852,20
52,45.12,24
53,45.525,23
53,45.579,20
55,45.701,21
56,46.009,24
57,46.116,21
55,46.334,22
56,46.549,23
58,47.17,26
57,47.62,22
57,47.629,18
57,48.058,23
57,48.473,28
58,48.437,25
60,48.884,25
58,49.43,29
60,49.504,23
59,50.008,22
59,50.036,30
59,50.111,24
60,50.859,24
61,51.189,21
60,51.365,26
60,51.764,27
60,51.885,28
61,51.94,24
61,52.198,25
61,52.321,28
62,52.809,29
62,52.736,24
62,52.972,22
62,53.016,27
62,53.468,25
63,53.562,30
62,53.726,29
62,53.643,25
63,54.153,25
64,54.277,27
63,54.483,32
64,54.862,27
64,54.664,26
64,54.919,29
63,54.846,31
63,54.606,23
64,54.737,30
64,55.018,30
64,55.093,30
64,55.184,24
64,55.221,29
64,55.341,20
64,55.469,30
64,55.748,20
64,55.821,26
64,55.944,28
64,56.354,18
64,55.953,26
64,56.186,29
64,56.186,23
64,56.38,32
64,56.45,30
64,56.307,26
64,56.756,30
64,56.368,24
